﻿孙铁宗,﻿天津化工研究院503组
﻿印剑,﻿中国石化总公司洛阳炼油厂研究所
﻿黄裕荣,﻿国营七一五矿
﻿刘昌俊,
﻿李蓉,
﻿杨桂梅,﻿辽阳石油化纤动力厂
﻿任高平,﻿北京开关厂
﻿方宇翘,﻿上海工业大学化学化工系
﻿漆德瑶,﻿上海工业大学化学化工系
﻿李长久,﻿东北电力学院应用化学系
﻿乔铁民,﻿上海宝钢能源部
﻿吴泾,﻿上海宝钢能源部
﻿李一铷,﻿化工部第三设计院
﻿杨硕芳,﻿湖南大学环境保护研究所
﻿王保国,﻿湖南省岳阳造纸厂热电站
﻿叶师衡,﻿湖南省岳阳造纸厂热电站
﻿马玉,﻿劳动人事部锅炉安全监察局
﻿王方,﻿清华大学热能工程系
﻿赵玉铭,﻿天津市劳动局
﻿周承华,﻿国营八一六厂
﻿张仲燕,﻿上海工业大学
﻿霍银坤,﻿电子工业部十二研究所
﻿霍明仙,﻿电子工业部十二研究所
﻿韩淑梅,﻿电子工业部十二研究所
﻿张岩,﻿电子工业部十二研究所
﻿罗伟君,﻿安庆石化总厂研究院
﻿周承松,﻿安庆石化总厂研究院
﻿彭楚国,﻿安庆石化总厂研究院
﻿吴晓明,﻿安庆石化总厂研究院
﻿鲍其鼐,﻿安庆石化总厂研究院
﻿杨芷芳,﻿武汉石油化工厂设备研究所
﻿张澄信,﻿武汉水利电力学院
﻿苏宏,﻿吉林化工学院环境工程教研室
﻿辛世崇,﻿吉林化工学院环境工程教研室
﻿尚土英,﻿天津纺织工学院纺化系
﻿赵淑欣,﻿天津纺织工学院纺化系
﻿杨印,﻿天津纺织工学院纺化系
﻿张翠润,﻿上海硫酸厂
﻿吴玉琛,﻿大庆设计院
﻿刘代万,﻿北京胜利化工厂
﻿徐金海,﻿安阳化肥厂
﻿侯金山,﻿中国人民解放军第三五○三二厂
﻿郭德明,﻿大连金光化工厂
﻿沈健,﻿电子工业部第十设计研究院
﻿纪永亮,﻿化工部天津化工研究院
﻿周本省,﻿南京化工学院
﻿庞名立,﻿天然气研究所
﻿叶道明,﻿洞庭氮肥厂中心试验室
﻿黄国和,﻿厦门市环境保护科学研究所
﻿糜留东,﻿湖北纺织设计院
﻿蔡德永,﻿兰州炼油厂设备研究室
﻿曹新荘,﻿天津化工研究院
﻿姚广致,﻿化工部天津化工研究院
﻿成荣钊,﻿化工部天津化工研究院
﻿洪永民,﻿荆门炼油厂设备研究所
﻿刘青山,﻿清华大学核能技术研究所
﻿吴秋林,﻿清华大学核能技术研究所
﻿王丽萍,﻿清华大学核能技术研究所
